puzzle_name,free_spaces,solvable,time,nodes,deadend
extreme_11x11_15,105,u,319.33882904,174379958,0
extreme_11x11_20,107,u,434.58283305,197905488,0
extreme_11x11_30,105,u,330.52564001,172084013,0
deadlock_6x6_01,24,s,0.00014591,202,0
extreme_10x10_01,90,u,233.92644811,147916320,0
extreme_11x11_07,107,u,434.81721902,202505726,0
extreme_11x11_15,105,u,325.83666205,174271683,0
extreme_11x11_20,107,u,397.93002796,198342604,0
extreme_11x11_30,105,u,420.67421389,172330105,0
extreme_12x12_02,124,u,504.01987505,200960324,0
extreme_12x12_30,130,u,649.53733206,267405705,0
extreme_12x12_02,124,u,371.11552405,201139555,0
extreme_12x12_30,130,u,591.62656903,266090002,0
extreme_12x12_02,124,u,369.60410309,200997257,0
extreme_12x12_30,130,u,606.46771312,264954046,0
extreme_9x9_01,73,u,136.57855201,78489531,0
extreme_9x9_30,69,s,38.77481008,26027479,0
regular_5x5_01,15,s,0.00000787,18,0
regular_6x6_01,24,s,0.00009799,283,0
regular_7x7_01,37,s,0.00118279,3317,0
regular_8x8_01,52,s,0.25174403,409726,0
regular_9x9_01,63,s,0.34732795,549827,0
unsolvable_cross,21,u,0.00058818,1689,0
extreme_9x9_01,73,u,117.14614820,78675119,0
extreme_9x9_30,69,s,35.86469507,26027479,0
regular_5x5_01,15,s,0.00000691,18,0
regular_6x6_01,24,s,0.00009489,283,0
regular_7x7_01,37,s,0.00123978,3317,0
regular_8x8_01,52,s,0.33071589,409726,0
regular_9x9_01,63,s,0.44511318,549827,0
unsolvable_cross,21,u,0.00057697,1689,0
extreme_9x9_01,73,s,103.23355508,78584155,0
extreme_9x9_30,69,s,31.82462811,26027479,0
regular_5x5_01,15,s,0.00000787,18,0
regular_6x6_01,24,s,0.00023794,283,0
regular_7x7_01,37,s,0.00271893,3317,0
regular_8x8_01,52,s,0.24506187,409726,0
regular_9x9_01,63,s,0.33158994,549827,0
unsolvable_cross,21,u,0.00062895,1689,0
extreme_9x9_01,73,u,115.68035817,78634946,0
extreme_9x9_30,69,s,38.47674608,26027479,0
regular_5x5_01,15,s,0.00000811,18,0
regular_6x6_01,24,s,0.00010204,283,0
regular_7x7_01,37,s,0.00121713,3317,0
regular_8x8_01,52,s,0.30474591,409726,0
regular_9x9_01,63,s,0.50099802,549827,0
unsolvable_cross,21,u,0.00059891,1689,0
extreme_9x9_01,73,u,106.88430190,78246443,0
extreme_9x9_30,69,s,33.77824187,26027479,0
regular_5x5_01,15,s,0.00001097,18,0
regular_6x6_01,24,s,0.00012302,283,0
regular_7x7_01,37,s,0.00123191,3317,0
regular_8x8_01,52,s,0.32791090,409726,0
regular_9x9_01,63,s,0.38233709,549827,0
unsolvable_cross,21,u,0.00065112,1689,0
jumbo_10x10_01,76,s,0.20584202,317532,0
jumbo_11x11_01,97,u,190.24743009,119393250,0
jumbo_10x10_01,76,s,0.18859291,317532,0
jumbo_11x11_01,97,u,211.30268097,120297285,0
jumbo_10x10_01,76,s,0.20485806,317532,0
jumbo_11x11_01,97,u,182.04428291,119096970,0
jumbo_10x10_01,76,s,0.17758512,317532,0
jumbo_11x11_01,97,u,218.79935408,119461649,0
jumbo_10x10_01,76,s,0.19062400,317532,0
jumbo_11x11_01,97,u,215.17888403,119562391,0
